failure_id,machine_id,failure_date,detection_method,failure_type,failure_severity,root_cause,repair_start,repair_end,mttr_hours,parts_replaced,parts_cost_eur,labor_hours,labor_cost_eur,production_loss_eur,total_cost_eur,technician_id,preventable,notes
F-00076,M-019,2025-06-23 00:00:00,ALARM,HYDRAULIC,MAJOR,SENSOR_DRIFT,2025-06-23 00:00:00,2025-06-23 08:53:28,8.89,5,6743.94,16.53,1404.83,20468.41,28617.18,TECH-23,True,Intervention sur PRESS - HYDRAULIC
F-00077,M-019,2025-09-22 00:00:00,QUALITY_ISSUE,HYDRAULIC,MAJOR,OVERHEATING,2025-09-22 00:00:00,2025-09-22 05:14:02,5.23,5,11838.63,7.65,649.85,8168.13,20656.6,TECH-07,True,Intervention sur PRESS - HYDRAULIC
F-00078,M-020,2024-04-27 00:00:00,QUALITY_ISSUE,SENSOR,CRITICAL,ELECTRICAL_SHORT,2024-04-27 00:00:00,2024-04-27 01:41:47,1.7,2,1502.8,3.19,270.85,4394.16,6167.81,TECH-09,True,Intervention sur PRESS - SENSOR
F-00079,M-020,2024-07-20 00:00:00,SCHEDULED_CHECK,PNEUMATIC,MINOR,DESIGN_FLAW,2024-07-20 00:00:00,2024-07-20 01:48:05,1.8,5,10529.78,2.95,250.37,4650.75,15430.9,TECH-21,True,Intervention sur PRESS - PNEUMATIC
F-00080,M-020,2024-09-01 00:00:00,QUALITY_ISSUE,ELECTRICAL,CRITICAL,WEAR,2024-09-01 00:00:00,2024-09-01 02:03:54,2.07,1,6294.46,3.72,316.33,6053.49,12664.27,TECH-09,True,Intervention sur PRESS - ELECTRICAL
F-00081,M-020,2024-12-05 00:00:00,OPERATOR_REPORT,SOFTWARE,MAJOR,OVERHEATING,2024-12-05 00:00:00,2024-12-05 04:44:52,4.75,3,9034.55,7.6,645.86,8023.61,17704.03,TECH-14,True,Intervention sur PRESS - SOFTWARE
F-00082,M-021,2024-02-14 00:00:00,SCHEDULED_CHECK,SOFTWARE,CRITICAL,OVERHEATING,2024-02-14 00:00:00,2024-02-14 03:07:08,3.12,1,6853.41,5.48,465.9,5108.18,12427.49,TECH-11,True,Intervention sur PRESS - SOFTWARE
F-00083,M-022,2024-04-26 00:00:00,ALARM,ELECTRICAL,MINOR,CALIBRATION,2024-04-26 00:00:00,2024-04-26 03:13:17,3.22,4,7199.79,5.92,503.35,7278.97,14982.11,TECH-01,True,Intervention sur PRESS - ELECTRICAL
F-00084,M-022,2024-07-22 00:00:00,SCHEDULED_CHECK,SENSOR,MAJOR,LUBRICATION,2024-07-22 00:00:00,2024-07-22 01:33:20,1.56,4,8871.54,2.86,243.25,3226.05,12340.85,TECH-04,False,Intervention sur PRESS - SENSOR
F-00085,M-022,2024-11-14 00:00:00,SCHEDULED_CHECK,PNEUMATIC,MINOR,EXTERNAL_FACTOR,2024-11-14 00:00:00,2024-11-14 02:13:21,2.22,1,12760.01,3.76,320.01,5839.87,18919.9,TECH-22,True,Intervention sur PRESS - PNEUMATIC
F-00086,M-023,2024-03-11 00:00:00,ALARM,MECHANICAL,MINOR,VIBRATION,2024-03-11 00:00:00,2024-03-11 03:25:53,3.43,4,8834.69,5.28,448.72,6771.39,16054.8,TECH-10,True,Intervention sur PRESS - MECHANICAL
F-00087,M-023,2024-05-03 00:00:00,QUALITY_ISSUE,HYDRAULIC,MINOR,OPERATOR_ERROR,2024-05-03 00:00:00,2024-05-03 09:03:31,9.06,4,6067.19,14.94,1269.91,20890.52,28227.63,TECH-23,False,Intervention sur PRESS - HYDRAULIC
F-00088,M-023,2024-08-03 00:00:00,QUALITY_ISSUE,ELECTRICAL,MINOR,DESIGN_FLAW,2024-08-03 00:00:00,2024-08-03 01:05:33,1.09,1,2939.03,1.71,145.42,2715.11,5799.56,TECH-19,True,Intervention sur PRESS - ELECTRICAL
F-00089,M-023,2024-10-06 00:00:00,ALARM,SENSOR,MAJOR,WEAR,2024-10-06 00:00:00,2024-10-06 01:34:42,1.58,4,14851.75,2.02,172.0,4198.95,19222.7,TECH-09,False,Intervention sur PRESS - SENSOR
F-00090,M-023,2024-11-16 00:00:00,ALARM,PNEUMATIC,CRITICAL,LUBRICATION,2024-11-16 00:00:00,2024-11-16 01:25:11,1.42,1,12985.21,2.4,203.73,2635.54,15824.48,TECH-19,False,Intervention sur PRESS - PNEUMATIC
F-00091,M-023,2025-02-22 00:00:00,ALARM,HYDRAULIC,MAJOR,WEAR,2025-02-22 00:00:00,2025-02-22 09:51:10,9.85,3,7959.02,18.92,1608.11,25916.96,35484.09,TECH-21,True,Intervention sur PRESS - HYDRAULIC
F-00092,M-024,2024-04-29 00:00:00,QUALITY_ISSUE,ELECTRICAL,CRITICAL,OVERHEATING,2024-04-29 00:00:00,2024-04-29 03:08:03,3.13,4,8872.67,4.43,376.96,5730.7,14980.33,TECH-17,False,Intervention sur PRESS - ELECTRICAL
F-00093,M-025,2024-04-28 00:00:00,OPERATOR_REPORT,HYDRAULIC,MINOR,CALIBRATION,2024-04-28 00:00:00,2024-04-28 07:04:25,7.07,2,14596.18,12.08,1026.88,16938.5,32561.56,TECH-14,True,Intervention sur PRESS - HYDRAULIC
F-00094,M-025,2024-07-30 00:00:00,QUALITY_ISSUE,HYDRAULIC,CRITICAL,OVERHEATING,2024-07-30 00:00:00,2024-07-30 06:49:52,6.83,2,13465.24,12.36,1050.86,7458.86,21974.97,TECH-15,False,Intervention sur PRESS - HYDRAULIC
F-00095,M-025,2024-08-29 00:00:00,SCHEDULED_CHECK,PNEUMATIC,MINOR,VIBRATION,2024-08-29 00:00:00,2024-08-29 02:17:59,2.3,1,4473.28,3.96,336.98,3451.78,8262.04,TECH-13,False,Intervention sur PRESS - PNEUMATIC
F-00096,M-025,2024-12-26 00:00:00,SCHEDULED_CHECK,ELECTRICAL,CRITICAL,CALIBRATION,2024-12-26 00:00:00,2024-12-26 01:16:24,1.27,2,8031.94,1.98,168.45,1294.13,9494.53,TECH-16,True,Intervention sur PRESS - ELECTRICAL
F-00097,M-025,2025-02-23 00:00:00,ALARM,PNEUMATIC,CRITICAL,DESIGN_FLAW,2025-02-23 00:00:00,2025-02-23 01:44:06,1.74,5,12293.83,3.3,280.16,3961.55,16535.55,TECH-01,True,Intervention sur PRESS - PNEUMATIC
F-00098,M-025,2025-05-20 00:00:00,QUALITY_ISSUE,HYDRAULIC,MAJOR,CALIBRATION,2025-05-20 00:00:00,2025-05-20 04:03:34,4.06,3,1756.98,5.2,441.81,10168.9,12367.7,TECH-05,True,Intervention sur PRESS - HYDRAULIC
F-00099,M-025,2025-07-24 00:00:00,ALARM,SOFTWARE,MINOR,CALIBRATION,2025-07-24 00:00:00,2025-07-24 04:17:51,4.3,3,12794.44,7.42,630.77,6890.37,20315.57,TECH-21,True,Intervention sur PRESS - SOFTWARE
